"category","type","estimate","lower","upper","x","pcrf","pden","ppop","parea","bound_range","group"
"exhibits","zoosaquariumsgardens",-220.69406638233423,-3023.231878904573,284.22295033922205,10,0.1,0.5,0.5,0.5,3307.454829243795,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-171.22795680996458,-2663.3204832062756,374.24241435522305,10,0.15000000000000002,0.5,0.5,0.5,3037.5628975614986,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-198.0680884463378,-3056.6920327439875,330.4885586576431,10,0.2,0.5,0.5,0.5,3387.1805914016304,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-160.90100844126857,-2467.724897116135,510.60958060788744,10,0.25,0.5,0.5,0.5,2978.3344777240222,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-196.15108836045698,-2987.7243060723004,311.4012770430023,10,0.30000000000000004,0.5,0.5,0.5,3299.1255831153026,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-192.83562070692233,-2903.2594142152993,302.93184664381266,10,0.35,0.5,0.5,0.5,3206.191260859112,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-175.49638528681334,-2482.6135284787906,356.6002638183777,10,0.4,0.5,0.5,0.5,2839.2137922971683,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-197.79905706685648,-2605.830310288208,335.4053164731252,10,0.45000000000000007,0.5,0.5,0.5,2941.235626761333,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-169.6445691485632,-2912.7064967329707,493.35751756699176,10,0.5,0.5,0.5,0.5,3406.0640142999623,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-198.68181301218942,-3346.5430197951487,334.6645717923492,10,0.55,0.5,0.5,0.5,3681.207591587498,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-186.9009549882794,-2775.573012412504,400.0485300588472,10,0.6,0.5,0.5,0.5,3175.621542471351,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-196.31093111180093,-3028.210862666381,408.03378799932443,10,0.65,0.5,0.5,0.5,3436.2446506657056,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-182.12548041840589,-2958.359900036588,458.0300838792817,10,0.7000000000000001,0.5,0.5,0.5,3416.38998391587,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-163.6684598242199,-2897.7010670216628,356.84653546469076,10,0.75,0.5,0.5,0.5,3254.5476024863538,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-214.68799007908086,-2860.8730266333487,456.3051038973429,10,0.8,0.5,0.5,0.5,3317.1781305306918,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-229.09677319255582,-2906.1838284084743,407.97963920073977,10,0.85,0.5,0.5,0.5,3314.163467609214,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-209.51776909242017,-3411.9262557879165,309.5248230470296,10,0.9,0.5,0.5,0.5,3721.451078834946,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-201.426740494714,-2756.2226393223264,396.69218780631877,10,0.95,0.5,0.5,0.5,3152.914827128645,"zoosaquariumsgardens-10"
"entertainment","totartsentertainment",-201.77989427481265,-3929.20211969424,442.8762406017315,10,0.1,0.5,0.5,0.5,4372.078360295972,"totartsentertainment-10"
"entertainment","totartsentertainment",-204.10938288108647,-3112.9352815078746,500.83253681815046,10,0.15000000000000002,0.5,0.5,0.5,3613.767818326025,"totartsentertainment-10"
"entertainment","totartsentertainment",-193.8842559212202,-3393.6969659741403,507.6171334995774,10,0.2,0.5,0.5,0.5,3901.3140994737178,"totartsentertainment-10"
"entertainment","totartsentertainment",-216.51875296180606,-3069.1977444380314,409.5189775923133,10,0.25,0.5,0.5,0.5,3478.7167220303445,"totartsentertainment-10"
"entertainment","totartsentertainment",-207.16559748956854,-3335.914643726484,532.1774766624078,10,0.30000000000000004,0.5,0.5,0.5,3868.092120388892,"totartsentertainment-10"
"entertainment","totartsentertainment",-223.77430893811507,-3552.2207478709133,384.56877674684904,10,0.35,0.5,0.5,0.5,3936.7895246177623,"totartsentertainment-10"
"entertainment","totartsentertainment",-233.22926573826916,-3548.0586039468485,356.2705481375427,10,0.4,0.5,0.5,0.5,3904.3291520843914,"totartsentertainment-10"
"entertainment","totartsentertainment",-257.5287125217802,-4715.409043676807,427.84200178515545,10,0.45000000000000007,0.5,0.5,0.5,5143.251045461963,"totartsentertainment-10"
"entertainment","totartsentertainment",-246.10880489611884,-4033.5884829311826,494.15100789062916,10,0.5,0.5,0.5,0.5,4527.739490821812,"totartsentertainment-10"
"entertainment","totartsentertainment",-248.823003702822,-4301.074774156444,389.7285555750966,10,0.55,0.5,0.5,0.5,4690.8033297315405,"totartsentertainment-10"
"entertainment","totartsentertainment",-238.55022400307843,-3531.290787249397,472.13756223604247,10,0.6,0.5,0.5,0.5,4003.4283494854394,"totartsentertainment-10"
"entertainment","totartsentertainment",-248.0373686784132,-4174.3175306420835,540.2832022068005,10,0.65,0.5,0.5,0.5,4714.600732848884,"totartsentertainment-10"
"entertainment","totartsentertainment",-267.7373222179513,-4164.166697532455,555.9771507935865,10,0.7000000000000001,0.5,0.5,0.5,4720.143848326042,"totartsentertainment-10"
"entertainment","totartsentertainment",-272.907230179065,-3928.0122285663265,399.246872707424,10,0.75,0.5,0.5,0.5,4327.25910127375,"totartsentertainment-10"
"entertainment","totartsentertainment",-254.74384330236256,-4147.788781811359,496.5460894008958,10,0.8,0.5,0.5,0.5,4644.334871212254,"totartsentertainment-10"
"entertainment","totartsentertainment",-278.96836302270935,-4603.91302895841,577.010188443996,10,0.85,0.5,0.5,0.5,5180.9232174024055,"totartsentertainment-10"
"entertainment","totartsentertainment",-274.55800022649055,-4008.777450147628,468.9068723894747,10,0.9,0.5,0.5,0.5,4477.684322537102,"totartsentertainment-10"
"entertainment","totartsentertainment",-277.64721395911897,-4182.7063250524225,544.2753084999962,10,0.95,0.5,0.5,0.5,4726.981633552418,"totartsentertainment-10"
"entertainment","theatricalproductions",-297.600455387126,-3253.9602794160664,57.82757076407795,10,0.1,0.5,0.5,0.5,3311.7878501801442,"theatricalproductions-10"
"entertainment","theatricalproductions",-296.6785225452204,-3459.5482177282593,84.72433377191913,10,0.15000000000000002,0.5,0.5,0.5,3544.2725515001785,"theatricalproductions-10"
"entertainment","theatricalproductions",-302.44130583785915,-3905.5152417080167,78.02352209631064,10,0.2,0.5,0.5,0.5,3983.538763804327,"theatricalproductions-10"
"entertainment","theatricalproductions",-305.4934928289106,-3850.2489723836425,92.46033950369934,10,0.25,0.5,0.5,0.5,3942.7093118873418,"theatricalproductions-10"
"entertainment","theatricalproductions",-328.3217700088742,-3808.148554992124,55.50819957320375,10,0.30000000000000004,0.5,0.5,0.5,3863.656754565328,"theatricalproductions-10"
"entertainment","theatricalproductions",-326.01751946324396,-4071.9151902509243,75.00748346634806,10,0.35,0.5,0.5,0.5,4146.922673717272,"theatricalproductions-10"
"entertainment","theatricalproductions",-296.0960699869024,-3746.9426548729284,88.61521264364977,10,0.4,0.5,0.5,0.5,3835.557867516578,"theatricalproductions-10"
"entertainment","theatricalproductions",-317.94151153923366,-3533.9760772109225,64.12316510138338,10,0.45000000000000007,0.5,0.5,0.5,3598.0992423123057,"theatricalproductions-10"
