"category","type","estimate","lower","upper","x","pcrf","pden","ppop","parea","bound_range","group"
"exhibits","zoosaquariumsgardens",-175.45063448481181,-2798.514762439105,293.95875210355933,10,0.5,0.1,0.5,0.5,3092.4735145426644,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-190.4120339337773,-3055.1264990467407,412.1248547407787,10,0.5,0.15000000000000002,0.5,0.5,3467.2513537875193,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-195.33492482119618,-3339.5053985213394,436.1416491502021,10,0.5,0.2,0.5,0.5,3775.6470476715417,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-197.2214498425544,-3709.1485925117113,406.0628742853907,10,0.5,0.25,0.5,0.5,4115.211466797102,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-198.22630830358622,-3038.9686597789314,433.5823277415147,10,0.5,0.30000000000000004,0.5,0.5,3472.550987520446,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-204.9446240138008,-3103.311663343239,347.88466635897515,10,0.5,0.35,0.5,0.5,3451.1963297022144,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-182.26708653268548,-3424.6645408501086,269.84290467452126,10,0.5,0.4,0.5,0.5,3694.50744552463,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-191.88660875433408,-3592.6640007433343,318.32824478364614,10,0.5,0.45000000000000007,0.5,0.5,3910.9922455269807,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-200.86170255029043,-3623.8633280292192,269.8765335287166,10,0.5,0.5,0.5,0.5,3893.739861557936,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-178.52051213007996,-2638.2543888686328,309.3666877214637,10,0.5,0.55,0.5,0.5,2947.6210765900964,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-180.69781040043165,-2886.932171081752,355.7697517411673,10,0.5,0.6,0.5,0.5,3242.701922822919,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-196.3113987131744,-2562.023846892308,453.6534182713654,10,0.5,0.65,0.5,0.5,3015.6772651636734,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-167.98213592174994,-2892.18480254332,356.6039423744498,10,0.5,0.7000000000000001,0.5,0.5,3248.7887449177697,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-199.46566330697743,-3512.1773736206283,289.14141268170107,10,0.5,0.75,0.5,0.5,3801.3187863023295,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-173.03589133588636,-2777.8381077757513,388.0187052824553,10,0.5,0.8,0.5,0.5,3165.8568130582066,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-181.72457323506967,-2971.439487846362,394.98782697434706,10,0.5,0.85,0.5,0.5,3366.4273148207094,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-192.57615477340374,-2826.705445548913,348.3441725010639,10,0.5,0.9,0.5,0.5,3175.0496180499767,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-138.3267821809207,-2975.5195825126802,722.0234785500571,10,0.5,0.95,0.5,0.5,3697.5430610627373,"zoosaquariumsgardens-10"
"entertainment","totartsentertainment",-296.3332257319116,-3644.6656482569724,53.56549230170938,10,0.5,0.1,0.5,0.5,3698.231140558682,"totartsentertainment-10"
"entertainment","totartsentertainment",-323.51811682929537,-3953.7852312474492,27.85711398329666,10,0.5,0.15000000000000002,0.5,0.5,3981.642345230746,"totartsentertainment-10"
"entertainment","totartsentertainment",-337.38944883724844,-3708.3573797656163,35.25669980484671,10,0.5,0.2,0.5,0.5,3743.614079570463,"totartsentertainment-10"
"entertainment","totartsentertainment",-314.5876614267336,-3457.5830285076318,46.84428170489479,10,0.5,0.25,0.5,0.5,3504.4273102125267,"totartsentertainment-10"
"entertainment","totartsentertainment",-325.6062673854619,-3875.468750783116,24.165591135513516,10,0.5,0.30000000000000004,0.5,0.5,3899.634341918629,"totartsentertainment-10"
"entertainment","totartsentertainment",-336.6561821954117,-3176.7923655267477,39.448898290977176,10,0.5,0.35,0.5,0.5,3216.2412638177248,"totartsentertainment-10"
"entertainment","totartsentertainment",-262.76752665495627,-4436.501449187193,364.5333995785795,10,0.5,0.4,0.5,0.5,4801.034848765773,"totartsentertainment-10"
"entertainment","totartsentertainment",-244.76382585066227,-3968.4268139535056,447.3407596456412,10,0.5,0.45000000000000007,0.5,0.5,4415.767573599147,"totartsentertainment-10"
"entertainment","totartsentertainment",-241.06160466633068,-3570.9369646347136,501.13585008173396,10,0.5,0.5,0.5,0.5,4072.0728147164477,"totartsentertainment-10"
"entertainment","totartsentertainment",-224.94390179281154,-4031.7914567868693,452.98235490188426,10,0.5,0.55,0.5,0.5,4484.773811688754,"totartsentertainment-10"
"entertainment","totartsentertainment",-228.7765210143843,-3001.2544796884217,468.5784566001164,10,0.5,0.6,0.5,0.5,3469.832936288538,"totartsentertainment-10"
"entertainment","totartsentertainment",-228.9125874167744,-3795.5237258815023,682.6853912654559,10,0.5,0.65,0.5,0.5,4478.209117146958,"totartsentertainment-10"
"entertainment","totartsentertainment",-227.67011808618264,-3126.307693317636,635.0276280241704,10,0.5,0.7000000000000001,0.5,0.5,3761.335321341807,"totartsentertainment-10"
"entertainment","totartsentertainment",-247.54431657703273,-3571.6179598547574,608.5372813647382,10,0.5,0.75,0.5,0.5,4180.155241219496,"totartsentertainment-10"
