"category","type","estimate","lower","upper","x","pcrf","pden","ppop","parea","bound_range","group"
"exhibits","zoosaquariumsgardens",-97.5138111406416,-1521.57307214059,232.00228982736795,10,0.5,0.5,0.5,0.1,1753.575361967958,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-118.94267757946591,-1766.335013730491,237.3182078815346,10,0.5,0.5,0.5,0.15000000000000002,2003.6532216120256,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-142.29664933283317,-2119.095769359733,266.2309753753376,10,0.5,0.5,0.5,0.2,2385.3267447350704,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-144.50576971218123,-2514.86809914347,339.33168126750627,10,0.5,0.5,0.5,0.25,2854.199780410976,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-157.6917365875148,-2495.362904431538,286.4094541053959,10,0.5,0.5,0.5,0.30000000000000004,2781.772358536934,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-164.78789251184506,-2549.1545448794063,272.05949649061006,10,0.5,0.5,0.5,0.35,2821.2140413700163,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-175.047810897428,-2422.20344373892,318.4980100201008,10,0.5,0.5,0.5,0.4,2740.701453759021,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-181.71757747551635,-2581.657366327441,374.07935842838396,10,0.5,0.5,0.5,0.45000000000000007,2955.736724755825,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-192.53977131428982,-2591.7305047107407,263.4310901907325,10,0.5,0.5,0.5,0.5,2855.161594901473,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-227.18700813529745,-2890.089274301094,342.4876645107695,10,0.5,0.5,0.5,0.55,3232.5769388118633,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-216.02765500785287,-3392.22025031842,406.6266782716623,10,0.5,0.5,0.5,0.6,3798.846928590082,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-187.3610458083095,-2866.2569595210744,497.33439123530405,10,0.5,0.5,0.5,0.65,3363.5913507563782,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-220.99228679347,-3605.585248548488,473.1408067034454,10,0.5,0.5,0.5,0.7000000000000001,4078.7260552519333,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-232.68904928934836,-3555.4344642973524,404.84641476073205,10,0.5,0.5,0.5,0.75,3960.2808790580843,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-241.68996721753376,-3835.2897663281333,509.04100436671416,10,0.5,0.5,0.5,0.8,4344.330770694847,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-217.9386720406411,-3982.624158136057,459.76088564022746,10,0.5,0.5,0.5,0.85,4442.385043776284,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-297.83878999286674,-4025.868520872225,458.7122520442062,10,0.5,0.5,0.5,0.9,4484.580772916431,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-312.0916373630215,-4766.185682752924,721.9819908937787,10,0.5,0.5,0.5,0.95,5488.1676736467025,"zoosaquariumsgardens-10"
"entertainment","totartsentertainment",-143.04143754650295,-2395.4938263074105,321.033028955047,10,0.5,0.5,0.5,0.1,2716.5268552624575,"totartsentertainment-10"
"entertainment","totartsentertainment",-191.93599449541395,-2570.0994068509663,282.54604529843004,10,0.5,0.5,0.5,0.15000000000000002,2852.645452149396,"totartsentertainment-10"
"entertainment","totartsentertainment",-173.13016240946263,-3038.3612556804333,387.680786609177,10,0.5,0.5,0.5,0.2,3426.0420422896104,"totartsentertainment-10"
"entertainment","totartsentertainment",-177.83426527795325,-2743.2944639756543,362.55269188708274,10,0.5,0.5,0.5,0.25,3105.847155862737,"totartsentertainment-10"
"entertainment","totartsentertainment",-180.1672172711281,-3051.606000616822,347.61333159347436,10,0.5,0.5,0.5,0.30000000000000004,3399.219332210296,"totartsentertainment-10"
"entertainment","totartsentertainment",-216.45705380653385,-3035.608766403662,349.18848271852585,10,0.5,0.5,0.5,0.35,3384.7972491221876,"totartsentertainment-10"
