"category","type","estimate","lower","upper","x","pcrf","pden","ppop","parea","bound_range","group"
"exhibits","zoosaquariumsgardens",-272.64327951374867,-4064.5958891602318,598.422651491526,10,0.5,0.5,0.1,0.5,4663.018540651758,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-296.9040514296745,-4158.211197911586,450.4427726579581,10,0.5,0.5,0.15000000000000002,0.5,4608.653970569544,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-296.2829586262702,-3652.763967041741,295.67364024803493,10,0.5,0.5,0.2,0.5,3948.437607289776,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-219.45835603036812,-3746.142022147341,401.7109913108675,10,0.5,0.5,0.25,0.5,4147.853013458209,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-224.27594412987912,-2859.2170126605415,405.45381137283687,10,0.5,0.5,0.30000000000000004,0.5,3264.6708240333783,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-215.28481786274492,-3751.4290603865797,423.8951478573938,10,0.5,0.5,0.35,0.5,4175.324208243974,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-212.72047259524044,-3200.950059029269,395.4486718051224,10,0.5,0.5,0.4,0.5,3596.3987308343917,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-183.46435317229918,-3625.9138340663035,313.3761498821818,10,0.5,0.5,0.45000000000000007,0.5,3939.2899839484853,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-203.50957319022464,-2313.6376967070937,404.0580837555215,10,0.5,0.5,0.5,0.5,2717.6957804626154,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-184.80374282952332,-2425.552565818553,410.61672669191876,10,0.5,0.5,0.55,0.5,2836.1692925104717,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-172.9302480283358,-2347.395244156109,354.200933563047,10,0.5,0.5,0.6,0.5,2701.596177719156,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-168.70860301132055,-2708.4751731252536,275.49189211368156,10,0.5,0.5,0.65,0.5,2983.967065238935,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-169.21346286582374,-2679.454509513571,350.48839731070126,10,0.5,0.5,0.7000000000000001,0.5,3029.942906824272,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-138.56591373212683,-2559.5945904658884,289.1597172703327,10,0.5,0.5,0.75,0.5,2848.754307736221,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-158.57352833897045,-2465.1411858815945,307.5157207293093,10,0.5,0.5,0.8,0.5,2772.6569066109037,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-133.26525362181832,-2715.2484082578635,327.94650348900825,10,0.5,0.5,0.85,0.5,3043.1949117468716,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-158.28765259361398,-2541.1325105935166,232.4049715396428,10,0.5,0.5,0.9,0.5,2773.5374821331593,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-132.5816550121026,-2151.9447387529526,207.19294216998588,10,0.5,0.5,0.95,0.5,2359.1376809229387,"zoosaquariumsgardens-10"
"entertainment","totartsentertainment",-307.80323172415194,-4102.269790486429,614.3615502318941,10,0.5,0.5,0.1,0.5,4716.631340718323,"totartsentertainment-10"
"entertainment","totartsentertainment",-291.30283770913024,-4090.723600218033,529.0247138707123,10,0.5,0.5,0.15000000000000002,0.5,4619.748314088745,"totartsentertainment-10"
"entertainment","totartsentertainment",-283.1301479679595,-3434.123117796969,414.2678606555943,10,0.5,0.5,0.2,0.5,3848.390978452563,"totartsentertainment-10"
"entertainment","totartsentertainment",-266.6567778351806,-4572.828739136915,555.4283361071894,10,0.5,0.5,0.25,0.5,5128.257075244104,"totartsentertainment-10"
"entertainment","totartsentertainment",-236.79329902004952,-3958.7372326729765,525.5248406367162,10,0.5,0.5,0.30000000000000004,0.5,4484.262073309693,"totartsentertainment-10"
"entertainment","totartsentertainment",-253.55134167545984,-4089.4608563919937,690.9758504166539,10,0.5,0.5,0.35,0.5,4780.436706808648,"totartsentertainment-10"
"entertainment","totartsentertainment",-240.6273975132363,-4012.747289086951,479.6275090012905,10,0.5,0.5,0.4,0.5,4492.374798088242,"totartsentertainment-10"
"entertainment","totartsentertainment",-231.40807883277145,-3169.604142473012,620.5032773016277,10,0.5,0.5,0.45000000000000007,0.5,3790.1074197746398,"totartsentertainment-10"
"entertainment","totartsentertainment",-264.34918214439296,-3224.6787624662747,454.755179474623,10,0.5,0.5,0.5,0.5,3679.433941940898,"totartsentertainment-10"
"entertainment","totartsentertainment",-213.04990699187374,-4219.98531742549,626.383095731708,10,0.5,0.5,0.55,0.5,4846.368413157198,"totartsentertainment-10"
"entertainment","totartsentertainment",-250.677784431194,-3360.7178018858463,531.8205221494878,10,0.5,0.5,0.6,0.5,3892.538324035334,"totartsentertainment-10"
"entertainment","totartsentertainment",-218.56678772645841,-3044.9482712056297,431.46300369177857,10,0.5,0.5,0.65,0.5,3476.4112748974085,"totartsentertainment-10"
"entertainment","totartsentertainment",-209.64373965730482,-3313.0076682621357,288.02413791569967,10,0.5,0.5,0.7000000000000001,0.5,3601.0318061778353,"totartsentertainment-10"
"entertainment","totartsentertainment",-203.0011999396268,-3159.3887425635457,399.3770246974425,10,0.5,0.5,0.75,0.5,3558.7657672609885,"totartsentertainment-10"
"entertainment","totartsentertainment",-218.27361288845935,-3340.209317346526,419.76558568353005,10,0.5,0.5,0.8,0.5,3759.974903030056,"totartsentertainment-10"
"entertainment","totartsentertainment",-196.43434577178164,-3154.5061052277256,527.31044221462,10,0.5,0.5,0.85,0.5,3681.816547442346,"totartsentertainment-10"
"entertainment","totartsentertainment",-196.513535568212,-2848.5417751785985,316.52081888527096,10,0.5,0.5,0.9,0.5,3165.0625940638693,"totartsentertainment-10"
"entertainment","totartsentertainment",-180.22930967768696,-2861.081179457803,365.4716984121757,10,0.5,0.5,0.95,0.5,3226.5528778699786,"totartsentertainment-10"
"entertainment","theatricalproductions",-447.45988241098155,-5773.371156046159,60.1834860050245,10,0.5,0.5,0.1,0.5,5833.554642051184,"theatricalproductions-10"
