"category","type","estimate","lower","upper","x","pcrf","pden","ppop","parea","bound_range","group"
"exhibits","zoosaquariumsgardens",-88.82215672052853,-1786.504144251825,513.6484887706591,1,0.5,0.5,0.5,0.5,2300.152633022484,"zoosaquariumsgardens-1"
"exhibits","zoosaquariumsgardens",-107.75543683944636,-2303.3054474755977,440.64225470549434,2,0.5,0.5,0.5,0.5,2743.947702181092,"zoosaquariumsgardens-2"
"exhibits","zoosaquariumsgardens",-127.04876465169609,-2328.033614024681,299.68868248413213,3,0.5,0.5,0.5,0.5,2627.722296508813,"zoosaquariumsgardens-3"
"exhibits","zoosaquariumsgardens",-161.19769933477477,-2423.8946004554577,381.565408195429,4,0.5,0.5,0.5,0.5,2805.4600086508867,"zoosaquariumsgardens-4"
"exhibits","zoosaquariumsgardens",-161.31644254124086,-2314.1267919584557,319.2646976448945,5,0.5,0.5,0.5,0.5,2633.3914896033502,"zoosaquariumsgardens-5"
"exhibits","zoosaquariumsgardens",-162.66818619933986,-3137.1349421098294,313.693227100809,6,0.5,0.5,0.5,0.5,3450.8281692106384,"zoosaquariumsgardens-6"
"exhibits","zoosaquariumsgardens",-171.71701850096684,-2644.860172263761,375.98705386813697,7,0.5,0.5,0.5,0.5,3020.847226131898,"zoosaquariumsgardens-7"
"exhibits","zoosaquariumsgardens",-185.65436438115535,-2415.596603692265,358.4045851930646,8,0.5,0.5,0.5,0.5,2774.0011888853296,"zoosaquariumsgardens-8"
"exhibits","zoosaquariumsgardens",-192.94770943148154,-2795.7727004381877,240.82008482340586,9,0.5,0.5,0.5,0.5,3036.5927852615937,"zoosaquariumsgardens-9"
"exhibits","zoosaquariumsgardens",-178.63491746260036,-2784.179720281499,400.9927644438466,10,0.5,0.5,0.5,0.5,3185.172484725346,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-208.96432215099156,-3399.1005928560803,483.67006960814575,11,0.5,0.5,0.5,0.5,3882.770662464226,"zoosaquariumsgardens-11"
"exhibits","zoosaquariumsgardens",-199.5934242135118,-2919.0600930624446,426.2100778774994,12,0.5,0.5,0.5,0.5,3345.270170939944,"zoosaquariumsgardens-12"
"exhibits","zoosaquariumsgardens",-200.04674387606906,-2951.411871330788,314.5417542619232,13,0.5,0.5,0.5,0.5,3265.9536255927114,"zoosaquariumsgardens-13"
"exhibits","zoosaquariumsgardens",-243.12018953743075,-3680.504699220169,238.13945430539636,14,0.5,0.5,0.5,0.5,3918.6441535255653,"zoosaquariumsgardens-14"
"exhibits","zoosaquariumsgardens",-209.29642369535875,-3171.702991034529,263.5725748940468,15,0.5,0.5,0.5,0.5,3435.275565928576,"zoosaquariumsgardens-15"
"exhibits","zoosaquariumsgardens",-186.6287536328958,-3323.648480055769,307.2823591509706,16,0.5,0.5,0.5,0.5,3630.9308392067396,"zoosaquariumsgardens-16"
"exhibits","zoosaquariumsgardens",-238.40073286202943,-3155.6055402292945,245.9923161267585,17,0.5,0.5,0.5,0.5,3401.597856356053,"zoosaquariumsgardens-17"
"exhibits","zoosaquariumsgardens",-193.04556629369665,-3893.741757076318,349.98624054941945,18,0.5,0.5,0.5,0.5,4243.727997625738,"zoosaquariumsgardens-18"
"exhibits","zoosaquariumsgardens",-218.0977993897818,-3604.377037522922,348.98613515310325,19,0.5,0.5,0.5,0.5,3953.363172676025,"zoosaquariumsgardens-19"
"exhibits","zoosaquariumsgardens",-234.68901367923831,-3123.6728693246364,359.3731834620976,20,0.5,0.5,0.5,0.5,3483.046052786734,"zoosaquariumsgardens-20"
"exhibits","zoosaquariumsgardens",-240.34869886226963,-3614.6922520069757,381.1603453784704,21,0.5,0.5,0.5,0.5,3995.852597385446,"zoosaquariumsgardens-21"
"exhibits","zoosaquariumsgardens",-211.9605327286227,-3746.111888357714,320.89799533261163,22,0.5,0.5,0.5,0.5,4067.0098836903258,"zoosaquariumsgardens-22"
"exhibits","zoosaquariumsgardens",-244.055668638955,-4566.95756235559,311.4053049388712,23,0.5,0.5,0.5,0.5,4878.3628672944615,"zoosaquariumsgardens-23"
"exhibits","zoosaquariumsgardens",-286.83848951494497,-4181.505798482283,464.47035543400875,24,0.5,0.5,0.5,0.5,4645.976153916292,"zoosaquariumsgardens-24"
"exhibits","zoosaquariumsgardens",-258.28661953268215,-3823.076978121105,400.86977128799015,25,0.5,0.5,0.5,0.5,4223.946749409095,"zoosaquariumsgardens-25"
"exhibits","zoosaquariumsgardens",-261.41993394458495,-3779.3806003228065,316.68009480963957,26,0.5,0.5,0.5,0.5,4096.060695132446,"zoosaquariumsgardens-26"
"exhibits","zoosaquariumsgardens",-235.68194475410078,-4162.39486105264,322.0133070232975,27,0.5,0.5,0.5,0.5,4484.408168075938,"zoosaquariumsgardens-27"
"exhibits","zoosaquariumsgardens",-239.07434281755542,-4646.058863866893,359.52634612543056,28,0.5,0.5,0.5,0.5,5005.585209992324,"zoosaquariumsgardens-28"
"exhibits","zoosaquariumsgardens",-266.02917171168895,-4490.0231518104565,355.12156287509765,29,0.5,0.5,0.5,0.5,4845.144714685554,"zoosaquariumsgardens-29"
"exhibits","zoosaquariumsgardens",-281.0112030851104,-3632.7796410663664,401.0867446226395,30,0.5,0.5,0.5,0.5,4033.8663856890057,"zoosaquariumsgardens-30"
"exhibits","zoosaquariumsgardens",-225.85235786949346,-3005.5094989723243,342.86305897307886,31,0.5,0.5,0.5,0.5,3348.372557945403,"zoosaquariumsgardens-31"
"exhibits","zoosaquariumsgardens",-256.4165434498,-3541.278959909625,240.73493999128175,32,0.5,0.5,0.5,0.5,3782.013899900907,"zoosaquariumsgardens-32"
"exhibits","zoosaquariumsgardens",-262.0924937407291,-4226.944993688382,253.0161594756247,33,0.5,0.5,0.5,0.5,4479.961153164007,"zoosaquariumsgardens-33"
"exhibits","zoosaquariumsgardens",-267.29550960909137,-4341.809353066685,306.44751731137865,34,0.5,0.5,0.5,0.5,4648.2568703780635,"zoosaquariumsgardens-34"
"exhibits","zoosaquariumsgardens",-275.61016177238577,-3879.327188785267,319.12606380565137,35,0.5,0.5,0.5,0.5,4198.453252590918,"zoosaquariumsgardens-35"
"exhibits","zoosaquariumsgardens",-287.9654458811684,-4625.381629172217,344.21846025749136,36,0.5,0.5,0.5,0.5,4969.6000894297085,"zoosaquariumsgardens-36"
"exhibits","zoosaquariumsgardens",-224.99030940961623,-3675.4262911248943,466.2269979120288,37,0.5,0.5,0.5,0.5,4141.6532890369235,"zoosaquariumsgardens-37"
"exhibits","zoosaquariumsgardens",-299.3898433988556,-4209.654299827733,250.7865405550625,38,0.5,0.5,0.5,0.5,4460.440840382796,"zoosaquariumsgardens-38"
"exhibits","zoosaquariumsgardens",-311.81307604158735,-3478.244159421562,394.22484903817883,39,0.5,0.5,0.5,0.5,3872.469008459741,"zoosaquariumsgardens-39"
"exhibits","zoosaquariumsgardens",-302.6882042671775,-4525.128971519361,411.1305169270075,40,0.5,0.5,0.5,0.5,4936.259488446368,"zoosaquariumsgardens-40"
"exhibits","zoosaquariumsgardens",-271.51736111105095,-3976.617370079093,288.68789222566295,41,0.5,0.5,0.5,0.5,4265.305262304756,"zoosaquariumsgardens-41"
