"category","type","estimate","lower","upper","x","pcrf","pden","ppop","parea","bound_range","group"
"exhibits","zoosaquariumsgardens",-89.49055623361997,-1625.4610856859174,443.19734892711193,1,0.25,0.5,0.5,0.5,2068.6584346130294,"zoosaquariumsgardens-1"
"exhibits","zoosaquariumsgardens",-104.10100698886382,-1791.712891450774,373.3698798591566,2,0.25,0.5,0.5,0.5,2165.0827713099306,"zoosaquariumsgardens-2"
"exhibits","zoosaquariumsgardens",-111.46557097239767,-2324.9650599535976,515.4369523223376,3,0.25,0.5,0.5,0.5,2840.4020122759352,"zoosaquariumsgardens-3"
"exhibits","zoosaquariumsgardens",-112.95501781147604,-2354.1897139141593,304.6233627116548,4,0.25,0.5,0.5,0.5,2658.813076625814,"zoosaquariumsgardens-4"
"exhibits","zoosaquariumsgardens",-142.47250280202144,-2065.7079574508957,304.18785761132256,5,0.25,0.5,0.5,0.5,2369.8958150622184,"zoosaquariumsgardens-5"
"exhibits","zoosaquariumsgardens",-141.96523702483353,-2178.462793124076,409.5439596583797,6,0.25,0.5,0.5,0.5,2588.006752782456,"zoosaquariumsgardens-6"
"exhibits","zoosaquariumsgardens",-160.19591455288145,-2923.2359248242333,392.2929963990812,7,0.25,0.5,0.5,0.5,3315.5289212233147,"zoosaquariumsgardens-7"
"exhibits","zoosaquariumsgardens",-176.8136378438367,-3134.7385868707865,387.4449111696998,8,0.25,0.5,0.5,0.5,3522.1834980404865,"zoosaquariumsgardens-8"
"exhibits","zoosaquariumsgardens",-177.55661511347887,-2998.593681413276,371.5432037873785,9,0.25,0.5,0.5,0.5,3370.1368852006544,"zoosaquariumsgardens-9"
"exhibits","zoosaquariumsgardens",-198.83809136464828,-2806.918612555702,347.99127140632123,10,0.25,0.5,0.5,0.5,3154.9098839620233,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-177.56158014547407,-2778.967288947878,404.0014920207521,11,0.25,0.5,0.5,0.5,3182.96878096863,"zoosaquariumsgardens-11"
"exhibits","zoosaquariumsgardens",-180.46238928026287,-2801.026510487396,366.2657948473478,12,0.25,0.5,0.5,0.5,3167.292305334744,"zoosaquariumsgardens-12"
"exhibits","zoosaquariumsgardens",-175.7198179808977,-3008.430017952944,332.7959176376684,13,0.25,0.5,0.5,0.5,3341.2259355906126,"zoosaquariumsgardens-13"
"exhibits","zoosaquariumsgardens",-223.019274710551,-3146.1299859179403,343.4679836238113,14,0.25,0.5,0.5,0.5,3489.597969541752,"zoosaquariumsgardens-14"
"exhibits","zoosaquariumsgardens",-180.68355026366004,-3322.5468674327053,337.11077552486205,15,0.25,0.5,0.5,0.5,3659.6576429575675,"zoosaquariumsgardens-15"
"exhibits","zoosaquariumsgardens",-202.80085890641809,-3126.0521249264016,321.0605852539355,16,0.25,0.5,0.5,0.5,3447.112710180337,"zoosaquariumsgardens-16"
"exhibits","zoosaquariumsgardens",-203.07036184304354,-3183.2266145006106,352.10667032790656,17,0.25,0.5,0.5,0.5,3535.333284828517,"zoosaquariumsgardens-17"
"exhibits","zoosaquariumsgardens",-196.50825382885716,-3422.0319452850554,443.10199321858795,18,0.25,0.5,0.5,0.5,3865.1339385036435,"zoosaquariumsgardens-18"
"exhibits","zoosaquariumsgardens",-234.964370663144,-3570.790763533043,244.98218511595704,19,0.25,0.5,0.5,0.5,3815.7729486490002,"zoosaquariumsgardens-19"
"exhibits","zoosaquariumsgardens",-229.3834698246033,-3578.994942846178,302.0144199071904,20,0.25,0.5,0.5,0.5,3881.009362753369,"zoosaquariumsgardens-20"
"exhibits","zoosaquariumsgardens",-236.24961562090988,-3193.649831469761,347.2831433292673,21,0.25,0.5,0.5,0.5,3540.932974799028,"zoosaquariumsgardens-21"
"exhibits","zoosaquariumsgardens",-226.81606946004138,-4291.822189553535,334.997923724776,22,0.25,0.5,0.5,0.5,4626.8201132783115,"zoosaquariumsgardens-22"
"exhibits","zoosaquariumsgardens",-214.2712717560961,-3320.8535114107267,345.9917116351628,23,0.25,0.5,0.5,0.5,3666.8452230458897,"zoosaquariumsgardens-23"
