"category","type","estimate","lower","upper","x","pcrf","pden","ppop","parea","bound_range","group"
"exhibits","zoosaquariumsgardens",-270.12243333120585,-4736.884229328072,327.9988506297793,10,0.5,0.5,0.1,0.5,5064.883079957852,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-236.5083037014612,-3612.2711662052766,703.3790714310093,10,0.5,0.5,0.15000000000000002,0.5,4315.650237636286,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-260.9001767087173,-3395.9955691092796,409.78379151373474,10,0.5,0.5,0.2,0.5,3805.7793606230143,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-214.71164900159994,-3443.6788593800775,472.59062493329003,10,0.5,0.5,0.25,0.5,3916.2694843133677,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-206.99534408127295,-4192.443223906803,434.68795680631945,10,0.5,0.5,0.30000000000000004,0.5,4627.131180713122,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-223.33241314513523,-3506.511039539592,415.99423131570063,10,0.5,0.5,0.35,0.5,3922.5052708552926,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-201.11636204529867,-2935.4911573607496,360.64335548192275,10,0.5,0.5,0.4,0.5,3296.1345128426724,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-209.48249982857817,-2991.2582750103224,353.83446075729717,10,0.5,0.5,0.45000000000000007,0.5,3345.0927357676196,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-193.09449546868683,-3424.725974569183,453.50873809431573,10,0.5,0.5,0.5,0.5,3878.2347126634986,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-164.61232432755043,-3445.111844053483,402.71419500865096,10,0.5,0.5,0.55,0.5,3847.826039062134,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-179.22769614837577,-2902.44251918032,372.8537921759084,10,0.5,0.5,0.6,0.5,3275.296311356228,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-168.94513743993974,-2331.5172328279414,411.4752345227899,10,0.5,0.5,0.65,0.5,2742.992467350731,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-162.7009408092972,-2431.05319622967,329.0381676069514,10,0.5,0.5,0.7000000000000001,0.5,2760.0913638366214,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-173.5562649936416,-2755.616833391921,388.39776762260107,10,0.5,0.5,0.75,0.5,3144.0146010145218,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-154.37056450634287,-2712.6931992526693,270.0000080633797,10,0.5,0.5,0.8,0.5,2982.6932073160488,"zoosaquariumsgardens-10"
