"category","type","estimate","lower","upper","x","pcrf","pden","ppop","parea","bound_range","group"
"exhibits","zoosaquariumsgardens",-89.6612771948357,-1816.0837729963268,423.1953058710091,1,0.5,0.5,0.5,0.5,2239.279078867336,"zoosaquariumsgardens-1"
"exhibits","zoosaquariumsgardens",-106.54293392013274,-1823.5240204087227,383.24086622030484,2,0.5,0.5,0.5,0.5,2206.7648866290274,"zoosaquariumsgardens-2"
"exhibits","zoosaquariumsgardens",-129.9909428742955,-1925.6582520686238,356.9212992741196,3,0.5,0.5,0.5,0.5,2282.5795513427433,"zoosaquariumsgardens-3"
"exhibits","zoosaquariumsgardens",-136.21337981789395,-2417.837012392898,381.7850390691034,4,0.5,0.5,0.5,0.5,2799.6220514620013,"zoosaquariumsgardens-4"
"exhibits","zoosaquariumsgardens",-141.03934825937844,-2652.765274802605,523.7052865165678,5,0.5,0.5,0.5,0.5,3176.4705613191727,"zoosaquariumsgardens-5"
"exhibits","zoosaquariumsgardens",-152.498366674389,-2485.1359211045783,427.750142069761,6,0.5,0.5,0.5,0.5,2912.886063174339,"zoosaquariumsgardens-6"
"exhibits","zoosaquariumsgardens",-172.80270282553417,-2903.521924603121,255.25579144034376,7,0.5,0.5,0.5,0.5,3158.777716043465,"zoosaquariumsgardens-7"
"exhibits","zoosaquariumsgardens",-177.4247891069217,-3054.0743479998,395.5164934824066,8,0.5,0.5,0.5,0.5,3449.5908414822065,"zoosaquariumsgardens-8"
"exhibits","zoosaquariumsgardens",-184.9583335157475,-3393.3021179903994,341.22544575152415,9,0.5,0.5,0.5,0.5,3734.5275637419236,"zoosaquariumsgardens-9"
"exhibits","zoosaquariumsgardens",-201.62092987887672,-3541.325098020655,290.6070537778791,10,0.5,0.5,0.5,0.5,3831.932151798534,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-208.91193335909975,-3864.1786527700624,285.3010191986052,11,0.5,0.5,0.5,0.5,4149.479671968667,"zoosaquariumsgardens-11"
"exhibits","zoosaquariumsgardens",-219.7268749821954,-2956.8125090921612,291.13582926792054,12,0.5,0.5,0.5,0.5,3247.948338360082,"zoosaquariumsgardens-12"
"exhibits","zoosaquariumsgardens",-202.3021686332582,-3143.535234931597,301.8191463597523,13,0.5,0.5,0.5,0.5,3445.3543812913495,"zoosaquariumsgardens-13"
"exhibits","zoosaquariumsgardens",-216.3919399574974,-3816.7929249633758,392.4207010711306,14,0.5,0.5,0.5,0.5,4209.213626034506,"zoosaquariumsgardens-14"
"exhibits","zoosaquariumsgardens",-207.72036556836557,-3168.6869051531507,313.9656286593829,15,0.5,0.5,0.5,0.5,3482.652533812534,"zoosaquariumsgardens-15"
"exhibits","zoosaquariumsgardens",-223.02708066868064,-4005.5033133139223,342.05246273992583,16,0.5,0.5,0.5,0.5,4347.555776053848,"zoosaquariumsgardens-16"
"exhibits","zoosaquariumsgardens",-224.80351258878255,-3705.852837072957,296.2388624801849,17,0.5,0.5,0.5,0.5,4002.0916995531416,"zoosaquariumsgardens-17"
"exhibits","zoosaquariumsgardens",-248.3841263132124,-3821.3650638603813,301.96993920151533,18,0.5,0.5,0.5,0.5,4123.335003061897,"zoosaquariumsgardens-18"
"exhibits","zoosaquariumsgardens",-244.97133791557073,-3686.9031998756327,258.0299087788453,19,0.5,0.5,0.5,0.5,3944.933108654478,"zoosaquariumsgardens-19"
"exhibits","zoosaquariumsgardens",-250.00426455238642,-4189.746253879858,353.8494926862793,20,0.5,0.5,0.5,0.5,4543.595746566138,"zoosaquariumsgardens-20"
"exhibits","zoosaquariumsgardens",-209.90935923386377,-3788.8135405657385,304.759305037129,21,0.5,0.5,0.5,0.5,4093.5728456028673,"zoosaquariumsgardens-21"
"exhibits","zoosaquariumsgardens",-232.4870584982527,-3548.321749856654,343.8769119343377,22,0.5,0.5,0.5,0.5,3892.198661790992,"zoosaquariumsgardens-22"
"exhibits","zoosaquariumsgardens",-227.75181845438266,-3562.155494374119,329.0587894406805,23,0.5,0.5,0.5,0.5,3891.2142838147993,"zoosaquariumsgardens-23"
"exhibits","zoosaquariumsgardens",-261.0128786783162,-4877.057818920923,428.8270670727362,24,0.5,0.5,0.5,0.5,5305.884885993659,"zoosaquariumsgardens-24"
"exhibits","zoosaquariumsgardens",-243.4266660033625,-3643.680913737528,341.95630116631907,25,0.5,0.5,0.5,0.5,3985.637214903847,"zoosaquariumsgardens-25"
"exhibits","zoosaquariumsgardens",-262.7018097576885,-4358.45639078894,340.8036164489027,26,0.5,0.5,0.5,0.5,4699.260007237843,"zoosaquariumsgardens-26"
"exhibits","zoosaquariumsgardens",-243.7578069647158,-4347.298855064924,329.39369162054425,27,0.5,0.5,0.5,0.5,4676.692546685468,"zoosaquariumsgardens-27"
"exhibits","zoosaquariumsgardens",-270.15858170626245,-4004.3294477451445,263.9083941687417,28,0.5,0.5,0.5,0.5,4268.237841913886,"zoosaquariumsgardens-28"
"exhibits","zoosaquariumsgardens",-230.74976102819332,-3491.3880418009276,409.79381926130685,29,0.5,0.5,0.5,0.5,3901.1818610622345,"zoosaquariumsgardens-29"
"exhibits","zoosaquariumsgardens",-253.552766377276,-3826.9417069143933,301.7785529558574,30,0.5,0.5,0.5,0.5,4128.720259870251,"zoosaquariumsgardens-30"
"exhibits","zoosaquariumsgardens",-250.74238336857678,-3971.582442638304,341.14330800094643,31,0.5,0.5,0.5,0.5,4312.725750639251,"zoosaquariumsgardens-31"
"exhibits","zoosaquariumsgardens",-257.5022273105949,-3889.566792247296,368.7137651752009,32,0.5,0.5,0.5,0.5,4258.280557422497,"zoosaquariumsgardens-32"
"exhibits","zoosaquariumsgardens",-246.33417163185703,-4481.676421395854,246.12342491271548,33,0.5,0.5,0.5,0.5,4727.79984630857,"zoosaquariumsgardens-33"
"exhibits","zoosaquariumsgardens",-283.2608148907932,-3858.2993024407656,386.46132820045693,34,0.5,0.5,0.5,0.5,4244.760630641223,"zoosaquariumsgardens-34"
"exhibits","zoosaquariumsgardens",-268.54755709329305,-3699.773226745112,333.37251000310295,35,0.5,0.5,0.5,0.5,4033.145736748215,"zoosaquariumsgardens-35"
