"category","type","estimate","lower","upper","x","pcrf","pden","ppop","parea","bound_range","group"
"exhibits","zoosaquariumsgardens",-85.61587349813371,-2060.6441351087433,427.0145011128667,1,0.75,0.5,0.5,0.5,2487.65863622161,"zoosaquariumsgardens-1"
"exhibits","zoosaquariumsgardens",-122.95671741377562,-2247.1730275970735,437.92337413695043,2,0.75,0.5,0.5,0.5,2685.096401734024,"zoosaquariumsgardens-2"
"exhibits","zoosaquariumsgardens",-131.22823803935216,-2383.5191889260755,347.22850127927904,3,0.75,0.5,0.5,0.5,2730.7476902053545,"zoosaquariumsgardens-3"
"exhibits","zoosaquariumsgardens",-163.7587629256566,-2494.414493495235,358.95040040842997,4,0.75,0.5,0.5,0.5,2853.3648939036652,"zoosaquariumsgardens-4"
"exhibits","zoosaquariumsgardens",-158.22602968927532,-3045.860455015381,485.72567273499544,5,0.75,0.5,0.5,0.5,3531.5861277503764,"zoosaquariumsgardens-5"
"exhibits","zoosaquariumsgardens",-178.2232840259893,-2554.071457166264,373.59786218040136,6,0.75,0.5,0.5,0.5,2927.6693193466654,"zoosaquariumsgardens-6"
"exhibits","zoosaquariumsgardens",-158.83152139712408,-2593.470283661253,332.22318930567843,7,0.75,0.5,0.5,0.5,2925.693472966931,"zoosaquariumsgardens-7"
"exhibits","zoosaquariumsgardens",-181.9531423498272,-2280.0403073875923,481.326139817928,8,0.75,0.5,0.5,0.5,2761.36644720552,"zoosaquariumsgardens-8"
"exhibits","zoosaquariumsgardens",-229.4896641102603,-3517.533815788165,364.6463342894704,9,0.75,0.5,0.5,0.5,3882.1801500776355,"zoosaquariumsgardens-9"
"exhibits","zoosaquariumsgardens",-200.15175316928708,-2972.2274254819067,301.54512370456825,10,0.75,0.5,0.5,0.5,3273.772549186475,"zoosaquariumsgardens-10"
"exhibits","zoosaquariumsgardens",-211.6429440617993,-3291.115604084083,459.5799492732952,11,0.75,0.5,0.5,0.5,3750.6955533573782,"zoosaquariumsgardens-11"
"exhibits","zoosaquariumsgardens",-223.88969562193984,-3732.865091685703,409.3334689690943,12,0.75,0.5,0.5,0.5,4142.198560654798,"zoosaquariumsgardens-12"
"exhibits","zoosaquariumsgardens",-205.89589026469952,-3657.186976011126,423.64646943252285,13,0.75,0.5,0.5,0.5,4080.8334454436485,"zoosaquariumsgardens-13"
"exhibits","zoosaquariumsgardens",-190.55624584668112,-3411.842221876335,330.7454298139717,14,0.75,0.5,0.5,0.5,3742.5876516903068,"zoosaquariumsgardens-14"
"exhibits","zoosaquariumsgardens",-248.43887278014867,-3875.7501906849893,362.82761518719434,15,0.75,0.5,0.5,0.5,4238.5778058721835,"zoosaquariumsgardens-15"
"exhibits","zoosaquariumsgardens",-219.11036465539928,-2966.9568934560793,368.16983006095177,16,0.75,0.5,0.5,0.5,3335.126723517031,"zoosaquariumsgardens-16"
"exhibits","zoosaquariumsgardens",-197.10061931969108,-3517.2078582388294,425.84750451919143,17,0.75,0.5,0.5,0.5,3943.0553627580207,"zoosaquariumsgardens-17"
"exhibits","zoosaquariumsgardens",-205.60960376850005,-3497.3764289486935,345.6143220484117,18,0.75,0.5,0.5,0.5,3842.9907509971054,"zoosaquariumsgardens-18"
"exhibits","zoosaquariumsgardens",-204.92839810481513,-4087.1651616255485,368.299880556809,19,0.75,0.5,0.5,0.5,4455.465042182357,"zoosaquariumsgardens-19"
"exhibits","zoosaquariumsgardens",-233.45379591280647,-4443.62721057322,411.6017932083016,20,0.75,0.5,0.5,0.5,4855.229003781521,"zoosaquariumsgardens-20"
"exhibits","zoosaquariumsgardens",-290.53278449897397,-4370.657064277444,300.6583765135764,21,0.75,0.5,0.5,0.5,4671.315440791021,"zoosaquariumsgardens-21"
"exhibits","zoosaquariumsgardens",-268.86651669035984,-4258.578385331106,367.34235386024085,22,0.75,0.5,0.5,0.5,4625.920739191347,"zoosaquariumsgardens-22"
